a.word,princess_word_count,dracula_word_count,total
brain,12,56,68
given,26,41,67
sweet,1,66,67
mother,16,51,67
wanted,23,43,66
captain,43,23,66
hour,11,55,66
behind,14,52,66
large,53,13,66
course,25,41,66
lips,5,61,66
o,8,58,66
story,49,16,65
fact,40,25,65
strong,4,61,65
able,18,47,65
stopped,23,42,65
happy,16,48,64
thinking,40,24,64
also,22,42,64
silence,13,50,63
quick,11,52,63
along,6,57,63
low,26,37,63
water,4,59,63
ll,37,25,62
ship,1,61,62
minutes,23,39,62
fellow,10,52,62
grew,12,49,61
present,4,57,61
stay,19,42,61
making,31,30,61
real,40,20,60
answer,16,44,60
mean,16,44,60
books,42,18,60
rose,21,39,60
arms,27,32,59
became,19,40,59
asleep,11,48,59
else,30,29,59
afraid,18,41,59
says,16,43,59
smile,28,31,59
clock,3,56,59
brought,21,37,58
sight,20,38,58
horses,1,56,57
wall,27,30,57
seat,25,32,57
around,7,49,56
drew,18,38,56
thin,23,33,56
sun,3,53,56
wait,11,45,56
glad,20,35,55
comfort,19,36,55
nice,41,14,55
laugh,27,28,55
simply,8,46,54
boxes,4,50,54
doing,21,33,54
either,16,38,54
forward,24,30,54
instant,8,46,54
laid,13,41,54
manner,21,33,54
pale,14,40,54
years,25,29,54
sea,5,49,54
across,25,28,53
quickly,17,36,53
closed,11,42,53
thank,23,30,53
earth,4,49,53
castle,2,51,53
use,11,42,53
comes,14,38,52
floor,29,23,52
broken,15,37,52
lady,15,37,52
learn,18,34,52
change,8,44,52
certain,14,38,52
quiet,15,37,52
wind,7,44,51
didn,26,25,51
hungry,47,4,51
power,5,46,51
strength,5,46,51
tomorrow,6,45,51
wonderful,24,27,51
turn,18,33,51
whom,7,43,50
none,6,44,50
having,18,32,50
wonder,16,34,50
die,5,45,50
begin,24,26,50
expected,14,35,49
mouth,11,38,49
women,3,46,49
throat,7,42,49
somehow,24,25,49
wild,6,43,49
evening,18,31,49
eat,22,27,49
feeling,16,33,49
moved,6,42,48
snow,5,43,48
pass,6,42,48
schoolroom,47,1,48
sunset,3,45,48
please,27,21,48
seeing,12,36,48
run,19,28,47
mine,17,30,47
idea,10,37,47
meant,24,23,47
whispered,30,17,47
ears,16,31,47
beginning,16,31,47
deep,13,34,47
key,1,46,47
chair,35,11,46
tired,21,25,46
dream,28,18,46
odd,27,19,46
afternoon,28,18,46
different,24,22,46
family,43,3,46
past,11,34,45
outside,10,35,45
threw,6,39,45
caught,27,18,45
study,8,37,45
entered,20,25,45
usual,12,33,45
known,20,25,45
ones,35,10,45
pretty,18,27,45
warm,37,8,45
duty,5,40,45
frightened,31,14,45
chance,5,40,45
queer,34,10,44
pain,4,40,44
getting,5,39,44
doubt,3,41,44
themselves,14,30,44
teeth,4,40,44
sir,4,40,44
sad,11,33,44
knowledge,2,42,44
hours,11,33,44
dare,22,21,43
possible,11,32,43
live,17,26,43
book,22,21,43
sit,20,23,43
knows,13,30,43
dinner,11,32,43
nature,5,38,43
high,4,39,43
hall,11,32,43
deal,20,23,43
meet,2,41,43
actually,27,16,43
girls,36,6,42
wife,9,33,42
within,1,41,42
danger,5,37,42
send,10,32,42
short,21,21,42
forget,17,25,42
itself,22,20,42
corner,20,22,42
french,40,1,41
shut,11,30,41
hold,10,31,41
speaking,9,32,41
pretend,37,4,41
taking,8,33,41
master,9,32,41
forehead,7,34,41
bit,23,18,41
bad,9,32,41
ill,21,20,41
towards,1,40,41
land,2,39,41
order,8,32,40
trying,17,23,40
ve,24,16,40
letters,7,33,40
d,17,23,40
placed,6,34,40
school,37,3,40
effort,5,35,40
hair,18,22,40
smiled,16,24,40
become,11,29,40
clever,23,17,40
cry,22,18,40
bright,16,24,40
papers,1,39,40
several,25,15,40
raised,5,35,40
bring,8,32,40
except,3,37,40
whose,10,30,40
replied,15,25,40
shock,7,33,40
silent,4,36,40
started,13,26,39
bear,15,24,39
struck,6,33,39
touched,12,27,39
less,7,32,39
breath,18,21,39
return,11,28,39
ground,3,36,39
met,10,29,39
four,9,30,39
show,12,27,39
